,Unnamed: 0,isbn,title,series_title,series_release_number,authors,publisher,language,description,num_pages,format,genres,publication_date,rating_score,price,url,BooksRemaining
10,24,9780060298784,Something Under the Bed is Drooling ,Calvin and Hobbes,2,Bill Watterson,Greenwillow Books,English,"Tonino is the only person in the famous Montana household who wasn't born with an instinct for creating spells, but he has other gifts. His ability to communicate with cats just might help defend the city of Caprona against a mysterious enchanter -- but only if Tonino can learn to cooperate with a girl from the hated Petrocchi family of spell-makers.",288,Hardcover,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Middle Grade', 'Magic', 'Adventure']",1980-01-01,3.93,6.99,https://www.goodreads.com/book/show/70490.Something_Under_the_Bed_is_Drooling,1113
11,27,9780380731503,Wayside School Is Falling Down ,Wayside School,2,Louis Sachar,Avon Camelot,English,"Louis the yard teacher starts off 30 tales of unusual students. Comic sketches precede every chapter. Todd brings a cute adorable plastic puppy who bites back when Joy steals it. Cafeteria lady Ms. Mush serves Mushroom Surprise that changes Ron. When Paul falls out the window, Leslie offers her pigtails to pull him back. On the 19th floor, invisible Allison finds Miss Zarves' class.",152,Paperback,"['Childrens', 'Fiction', 'Humor', 'Middle Grade', 'Young Adult', 'Fantasy', 'Juvenile']",1989-01-01,4.16,8.49,https://www.goodreads.com/book/show/10065.Wayside_School_Is_Falling_Down,1416
12,28,9780425205815,Rules of Prey ,Lucas Davenport,1,John Sandford,G.P. Putnam's Sons,English,"Welcome. You are about to meet Lucas Davenport, the police detective in Minneapolis, Minnesota, who does it his way. 
The ""maddog"" murderer who is terrorizing the Twin Cities is two things: insane and extremely intelligent. He kills for the pleasure of it and thoroughly enjoys placing elaborate obstacles to keep the police befuddled. Each clever move he makes is another point of pride. But when the brilliant Lieutenant Davenport--a dedicated cop and a serial killer's worst nightmare--is brought in to take up the investigation, maddog suddenly has an adversary worthy of his genius.
Librarian's note: the first five books in the Lucas Davenport series are #1, Rules of Prey, 1989; #2, Shadow Prey, 1990; #3, Eyes of Prey, 1991; #4, Silent Prey, 1992; and #5, Winter Prey, 1993.",479,Mass Market Paperback,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Detective']",1989-07-24,4.11,9.99,https://www.goodreads.com/book/show/37301.Rules_of_Prey,1751
13,29,9780552154161,Jingo ,"Discworld, City Watch","21,4",Terry Pratchett,Corgi Books,English,"A weathercock has risen from the sea of Discworld, and suddenly you can tell which way the wind is blowing.
A new land has surfaced, and so have old feuds.
And as two armies march, Commander Vimes of Ankh-Morpork City Watch has got just a few hours to deal with a crime so big that there's no law against it. It's called ""war.""
He's facing unpleasant foes who are out to get him... that's just the people on his side. The enemy might even be worse. And his pocket Dis-organiser says he's got to DIE under ""Things To Do Today.""
But he'd better not, because the world's cleverest inventor and its most devious politician are on their way to the battlefield with a little package that's guaranteed to stop a battle...
Discworld goes to war, with armies of sardines, warriors, fishermen, squid, and at least one very camp follower.",461,Paperback,"['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Audiobook', 'War']",1997-01-01,4.18,6.99,https://www.goodreads.com/book/show/47990.Jingo,1748
14,30,9780445408647,Curses! ,Gideon Oliver,5,Aaron Elkins,Mysterious Pr,English,"An archaeological dig on the Yucatan Peninsula uncovers an ancient Mayan curse, but anthropology professor Gideon Oliver suspects the spate of murders that follow may have a more corporeal cause",254,Paperback,"['Mystery', 'Fiction', 'Anthropology', 'Cozy Mystery', 'Archaeology', 'Crime', 'Mystery Thriller']",1989-01-01,4.02,0.0,https://www.goodreads.com/book/show/591425.Curses_,1746
15,32,9780671720148,The Vor Game ,Vorkosigan Saga,6,Lois McMaster Bujold,Baen Books,English,"Hugo Award Winner! Miles Vorkosigan graduates from the Academy, joins a mutiny, is placed under house arrest, goes on a secret mission, reconnects with his loyal Dendarii Mercenaries, rescues his Emperor, and thwarts an interstellar war. Situation normal, if you're Miles.",346,Mass Market Paperback,"['Science Fiction', 'Space Opera', 'Fiction', 'Hugo Awards', 'Science Fiction Fantasy', 'Fantasy', 'Audiobook']",1990-01-01,4.27,6.99,https://www.goodreads.com/book/show/68483.The_Vor_Game,1108
16,33,9780449911945,Rabbit at Rest ,Rabbit Angstrom,4,John Updike,Random House Trade Paperbacks,English,"Winner of the 1991 Pulitzer Prize for Fiction. In John Updike's fourth and final novel about ex-basketball player Harry ""Rabbit"" Angstrom, the hero has acquired heart trouble, a Florida condo, and a second grandchild. His son and daughter-in-law are acting erratically, his wife Janice wants to work, and Rabbit is searching his soul, looking for reasons to live.",608,Paperback,"['Fiction', 'Classics', 'Novels', 'Literature', 'American', 'Literary Fiction', 'Animals']",1990-12-18,4.0,13.99,https://www.goodreads.com/book/show/11666.Rabbit_at_Rest,498
17,34,9780345460691,Time Bomb ,Alex Delaware,5,Jonathan Kellerman,Ballantine Books,English,"Edgar Award winner Jonathan Kellerman once more explores the corruption of California and produces a novel of complex characterizations and nonstop suspense.
Psychologist Dr. Alex Delaware was called. Unfortunately, by the time he reached the school, the damage was done. A sniper had opened fire on a crowded playground, but was gunned down before any children were hurt. 
""Though a time bomb is ticking away at the heart of this novel, readers will forget to watch the clock once they begin it."" 'Chicago Sun Times.' 
While the TV news crews feasted on the scene, Alex began his therapy sessions with the traumatized children. But he couldn't escape the image of a slight teenager clutching an oversized rifle. What was behind the name and face? A would-be assassin, or just another victim beneath an indifferent California sky? 
Intrigued by a request from the sniper's father to conduct a ""psychological autopsy"" of his child, Alex begins to uncover a strange pattern of innocence, neglect, and loss. Then suddenly it is more than a pattern, it is a trail of blood. In the dead sniper's past was a dark and vicious plot. And in Alex Delaware's future is the stuff of grown-up nightmares: the face of real human evil.",496,Paperback,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense', 'Audiobook']",1990-01-01,3.99,5.99,https://www.goodreads.com/book/show/185908.Time_Bomb,925
18,40,9780441019427,Masques ,Sianim,1,Patricia Briggs,Ace Books,English,"Rewritten from the original story of 1993.
After an upbringing of proper behavior and oppressive expectations, Aralorn fled her noble birthright for a life of adventure as a mercenary spy. 
Her latest mission involves spying on the increasingly powerful sorcerer Geoffrey ae'Magi. 
But in a war against an enemy armed with the powers of illusion, how do you know who the true enemy is-or where he will strike next?",294,Mass Market Paperback,"['Fantasy', 'Magic', 'Romance', 'Paranormal', 'Fiction', 'Urban Fantasy', 'Science Fiction Fantasy']",1993-12-01,3.91,3.99,https://www.goodreads.com/book/show/7857711-masques,1213
19,47,9780425201374,The Lunatic Cafe ,"Anita Blake, Vampire Hunter",4,Laurell K. Hamilton,Berkley,English,"Anita has fallen for the leader of a local pack of werewolves. She's survived a lot, but this love thing may kill her yet.",352,Hardcover,"['Urban Fantasy', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Horror', 'Paranormal Romance']",1996-01-01,4.13,8.99,https://www.goodreads.com/book/show/30273.The_Lunatic_Cafe,271
20,49,9781860491818,Dead Over Heels ,Aurora Teagarden Mystery,5,Charlaine Harris,Virago,English,"Caro, gallant and adventurous, is one of two Australian sisters who have come to post-war England to seek their fortunes. Courted long and hopelessly by young scientist, Ted Tice, she is to find that love brings passion, sorrow, betrayal and finally hope. The milder Grace seeks fulfilment in an apparently happy marriage. But as the decades pass and the characters weave in and out of each other's lives, love, death and two slow-burning secrets wait in ambush for them.",352,Paperback,"['Fiction', 'Historical Fiction', 'Classics', 'Australia', 'Novels', 'Literary Fiction', 'Literature']",1980-03-14,4.0,11.99,https://www.goodreads.com/book/show/8129823-dead-over-heels,1285
21,52,9780765354952,Reliquary ,Pendergast,2,Douglas Preston,Tor Books,English,"Hidden deep beneath Manhattan lies a warren of tunnels, sewers, and galleries, mostly forgotten by those who walk the streets above. There lies the ultimate secret of the Museum Beast. When two grotesquely deformed skeletons are found deep in the mud off the Manhattan shoreline, museum curator Margo Green is called in to aid the investigation. Margo must once again team up with police lieutenant D'Agosta and FBI agent Pendergast, as well as the brilliant Dr. Frock, to try and solve the puzzle. The trail soon leads deep underground, where they will face the awakening of a slumbering nightmare.",464,Mass Market Paperback,"['Thriller', 'Mystery', 'Horror', 'Fiction', 'Mystery Thriller', 'Suspense', 'Science Fiction']",1997-01-01,4.03,9.99,https://www.goodreads.com/book/show/39030.Reliquary,1272
22,53,9781400031511,One Step Behind ,Wallander,7,Henning Mankell,Vintage Crime/Black Lizard,English,"Seventh in the Kurt Wallander series.
On Midsummer’s Eve, three role-playing teens dressed in eighteenth-century garb are shot in a secluded Swedish meadow. When one of Inspector Kurt Wallander’s most trusted colleagues–someone whose help he hoped to rely on to solve the crime–also turns up dead, Wallander knows the murders are related. But with his only clue a picture of a woman no one in Sweden seems to know, he can’t begin to imagine how. Reeling from his own father’s death and facing his own deteriorating health, Wallander tracks the lethal progress of the killer. Locked in a desperate effort to catch him before he strikes again, Wallander always seems to be just one step behind.",440,Paperback,"['Mystery', 'Crime', 'Fiction', 'Thriller', 'Sweden', 'Scandinavian Literature', 'Detective']",1997-01-01,4.1,0.0,https://www.goodreads.com/book/show/666614.One_Step_Behind,195
23,54,9780380794577,A Rake's Vow ,Cynster,2,Stephanie Laurens,Avon,English,"He vowed never to marry.
She vowed no man would trap her.
But some vows are meant to be broken...
Vane Cynster greatly enjoys his dalliances, but he's always remained aloof when other Cynster men stepped up to the altar. Resolved to 
 submit to being leg-shackled to 
any
 woman, he believes hes found the ideal temporary refuge from London's infuriating husband hunters at Bellamy Hall. But an encounter with irresistible Patience Debbington has his head—and his heart—spinning...and soon he has more than mere seduction on his mind.
But Patience is not about to succumb to arrogant, presumptuous Vane's sensuous propositions. Certainly his kisses leave her weak, and his caresses leave her flushed and burning with desire. But he is bound to be unfaithful—just like every other man—and despite his assurances, she will not trust the handsome, elegant rogue with her heart.
But can a promise to resist temptation stand firm when passion demands otherwise?",374,Mass Market Paperback,"['Historical Romance', 'Romance', 'Historical', 'Regency', 'Historical Fiction', 'Regency Romance', 'Fiction']",1998-10-01,4.01,7.99,https://www.goodreads.com/book/show/823580.A_Rake_s_Vow,151
24,55,9788466302944,Pandora ,New Tales of the Vampires,1,Anne Rice,Punto de lectura,Spanish; Castilian,"Anne Rice, creator of the Vampire Lestat, the Mayfair witches and the amazing worlds they inhabit, now gives us the first in a new series of novels linked together by the fledgling vampire David Talbot, who has set out to become a chronicler of his fellow Undead.
The novel opens in present-day Paris in a crowded café, where David meets Pandora. She is two thousand years old, a Child of the Millennia, the first vampire ever made by the great Marius. David persuades her to tell the story of her life. 
Pandora begins, reluctantly at first and then with increasing passion, to recount her mesmerizing tale, which takes us through the ages, from Imperial Rome to eighteenth-century France to twentieth-century Paris and New Orleans. She carries us back to her mortal girlhood in the world of Caesar Augustus, a world chronicled by Ovid and Petronius. This is where Pandora meets and falls in love with the handsome, charismatic, lighthearted, still-mortal Marius. This is the Rome she is forced to flee in fear of assassination by conspirators plotting to take over the city. And we follow her to the exotic port of Antioch, where she is destined to be reunited with Marius, now immortal and haunted by his vampire nature, who will bestow on her the Dark Gift as they set out on the fraught and fantastic adventure of their two turbulent centuries together.",383,Paperback,"['Horror', 'Vampires', 'Fantasy', 'Fiction', 'Paranormal', 'Supernatural', 'Historical Fiction']",1998-01-01,3.79,4.99,https://www.goodreads.com/book/show/31343.Pandora,518
25,57,9780312977108,A Place Of Safety ,Chief Inspector Barnaby,6,Caroline Graham,St. Martin's Paperbacks,English,"Charlie Leathers was not the most popular man in the charming English village of Ferne Basset, but few people seemed to hate him enough to murder him. Still, that was his fate one night, and it brings Inspector Barnaby to the scene to investigate. What Barnaby doesn't know is that before his death, Charlie witnessed what might have been the suicide--or murder--of a young woman whose troubles with the law have landed her in the home of a local retired minister and his none-too-pleased wife. Now a man is dead, a girl is missing, and a town is in chaos as long-kept secrets begin to unravel, with deadly repercussions.",288,Mass Market Paperback,"['Mystery', 'Fiction', 'Crime', 'British Literature', 'Cozy Mystery', 'Mystery Thriller', 'Detective']",1999-01-01,4.01,11.99,https://www.goodreads.com/book/show/256937.A_Place_Of_Safety,1052
26,58,9780812575583,Winter's Heart ,The Wheel of Time,9,Robert Jordan,Tor Fantasy,English,"Rand is on the run with Min, and in Cairhein, Cadsuane is trying to figure out where he is headed. Rand's destination is, in fact, one she has never considered.
Mazrim Taim, leader of the Black Tower, is revealed to be a liar. But what is he up to?
Faile, with the Aiel Maidens, Bain and Chiad, and her companions, Queen Alliandre and Morgase, is prisoner of Savanna's sept.
Perrin is desperately searching for Faile. With Elyas Machera, Berelain, the Prophet and a very mixed ""army"" of disparate forces, he is moving through country rife with bandits and roving Seanchan. The Forsaken are ever more present, and united, and the man called Slayer stalks Tel'aran'rhiod and the wolfdream.
In Ebou Dar, the Seanchan princess known as Daughter of the Nine Moons arrives--and Mat, who had been recuperating in the Tarasin Palace, is introduced to her. Will the marriage that has been foretold come about?
There are neither beginnings or endings to the turning of the Wheel of Time. But it is a beginning....",780,Mass Market Paperback,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Audiobook', 'Epic']",2000-11-07,3.97,9.99,https://www.goodreads.com/book/show/13891.Winter_s_Heart,959
27,65,9780756400606,The Gates of Sleep ,Elemental Masters,3,Mercedes Lackey,DAW,English,"Marina is the cherished daughter of the wealthy Roeswood family, practitioners of Elemental Magic. But all is not well in this elegant, aristocratic household. Evil portents have warned her father that Marina will be killed before her eighteenth birthday—by the hand of her own aunt. And no one is sure is the family magic is powerful enough to overturn the prophesy.",389,Hardcover,"['Fantasy', 'Fiction', 'Fairy Tales', 'Magic', 'Romance', 'Historical Fiction', 'Science Fiction Fantasy']",2002-01-01,3.88,5.99,https://www.goodreads.com/book/show/847809.The_Gates_of_Sleep,227
28,66,9780425183755,Blood Lure ,Anna Pigeon,9,Nevada Barr,Berkley,English,"In this mystery in Nevada Barr’s  New York Times bestselling series, District Park Ranger Anna Pigeon is betrayed by nature itself, as a most unnatural evil stalks its prey in the pristine West…
Straddling the border between Montana and Canada lies the Waterton-Glacier International Peace Park—Anna’s home away from home when she is sent on a cross-training assignment to study grizzly bears. Along with bear researcher Joan Rand and a volatile, unpredictable teenage boy, Anna hikes the back country, seeking signs of bear. But the tables are turned on their second night out, when one of the beasts comes looking for them. Daybreak finds the boy missing, a camper mutilated, and Anna caught in a grip of fear, painfully aware that her lifelong bond with nature has inexplicably snapped...",333,Mass Market Paperback,"['Mystery', 'Fiction', 'Mystery Thriller', 'Thriller', 'Crime', 'Suspense', 'Audiobook']",2001-01-01,3.91,8.99,https://www.goodreads.com/book/show/86446.Blood_Lure,768
29,74,9780446617093,Dance of Death ,"Pendergast, Diogenes","6,2",Douglas Preston,Warner Books,English,"Two brothers on opposite sides of the law battle it out on the streets of New York in this chill-inducing thriller, a follow-up to BRIMSTONE. — As the previous installment came to a close, vicious dogs and armed men surrounded FBI Special Agent Aloysius Pendergast and his demise seemed certain. Nevertheless, he did leave behind a legacy: a letter for his friend, NYPD Lieutenant Vincent D'Agosta. Its contents ask D'Agosta to assume the responsibility of pursuing Pendergast's younger brother Diogenes, an insane and vengeful genius who has sworn to commit the perfect crime on January 28 -- which is now only one week away.",560,Mass Market Paperback,"['Thriller', 'Mystery', 'Fiction', 'Horror', 'Suspense', 'Mystery Thriller', 'Crime']",2005-06-01,4.19,8.99,https://www.goodreads.com/book/show/136638.Dance_of_Death,1236
30,75,9780060572990,Every Which Way But Dead ,The Hollows,3,Kim Harrison,HarperTorch,English,"T
here's no witch in Cincinnati tougher, sexier, or more screwed up than bounty hunter Rachel Morgan, who's already put her love life and soul in dire jeopardy through her determined efforts to bring criminal night creatures to justice.
Between ""runs,"" she has her hands full fending off the attentions of her blood-drinking partner, keeping a deadly secret from her backup, and resisting a hot new vamp suitor.
Rachel must also take a stand in the war that's raging in the city's underworld, since she helped put away its former vampire kingpin - and made a deal with a powerful demon to do so that could cost her an eternity of pain, torment, and degradation.
And now her dark ""master"" is coming to collect his due.",501,Mass Market Paperback,"['Urban Fantasy', 'Fantasy', 'Paranormal', 'Vampires', 'Witches', 'Magic', 'Fiction']",2005-06-28,4.28,8.49,https://www.goodreads.com/book/show/30263.Every_Which_Way_But_Dead,259
31,77,9780307269980,The Girl Who Played with Fire ,Millennium,2,Stieg Larsson,Alfred A. Knopf,English,"The Expose
Millenium publisher Mikael Blomkvist has made his reputation exposing corrupt establishment figures. So when a young journalist approaches him with an investigation into sex trafficking, Blomkvist cannot resist waging war on the powerful figures who control this lucrative industry.
The Murder
When a young couple is found dead in their Stockholm apartment, it's a straightforward job for Inspector Bublanski and his team. The killer left the weapon at the scene - and the fingerprints on the gun point in only one direction.
The Girl Who Played with Fire
Ex-security analyst Lisbeth Salander is wanted for murder. Her history of unpredictable and vengeful behaviour makes her an official danger to society - but no-one can find her. The only way Salander can be reached is by computer. But she can break into almost any network she chooses...",503,Hardcover,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Contemporary']",2006-06-01,4.25,9.99,https://www.goodreads.com/book/show/5060378-the-girl-who-played-with-fire,1630
32,78,9781423100034,"I'd Tell You I Love You, But Then I'd Have to Kill You ",Gallagher Girls,1,Ally Carter,Hyperion Book CH,English,"Cammie Morgan is a student at the Gallagher Academy for Exceptional Young Women, a fairly typical all-girls school—that is, if every school taught advanced martial arts in PE and the latest in chemical warfare in science, and students received extra credit for breaking CIA codes in computer class. The Gallagher Academy might claim to be a school for geniuses, but it's really a school for spies. Even though Cammie is fluent in fourteen languages and capable of killing a man in seven different ways, she has no idea what to do when she meets an ordinary boy who thinks she's an ordinary girl. Sure, she can tap his phone, hack into his computer, or track him through town with the skill of a real ""pavement artist""—but can she maneuver a relationship with someone who can never know the truth about her? 
Cammie Morgan may be an elite spy-in-training, but in her sophomore year, she's on her most dangerous mission—falling in love.",284,Hardcover,"['Young Adult', 'Romance', 'Mystery', 'Contemporary', 'Fiction', 'Espionage', 'Adventure']",2006-04-25,3.84,8.99,https://www.goodreads.com/book/show/852470.I_d_Tell_You_I_Love_You_But_Then_I_d_Have_to_Kill_You,913
